district_name,official_population,calibrated_population,metro_access_population,metro_access_pct,bus_only_population,bus_only_pct,underserved_population,underserved_pct,combined_walk_access_population,combined_walk_access_pct,area_km2,population_density_per_km2,metro_stations_in_district,metro_access_points_in_district,bus_stops_in_district,bazaars_in_district
Almazar district,421300,421300.0,28109.165172,6.672007,351126.604843,83.343604,42064.229985,9.984389,379235.770015,90.015611,33.709502,12497.959895,1,4,213,9
Bektemir district,73600,73600.0,2218.830802,3.014716,32751.86876,44.499822,38629.300439,52.485463,34970.699561,47.514537,35.69755,2061.766119,1,1,56,8
Chilanzar district,277600,277600.0,62485.782413,22.509288,191911.007972,69.132207,23203.209615,8.358505,254396.790385,91.641495,30.344123,9148.394138,5,39,203,12
Mirabad district,157500,157500.0,37680.732527,23.924275,113892.026534,72.312398,5927.240939,3.763328,151572.759061,96.236672,16.745122,9405.72408,4,17,155,3
Mirzo Ulugbek district,345300,345300.0,38766.508656,11.226907,269575.637459,78.069979,36957.853885,10.703114,308342.146115,89.296886,38.71345,8919.380708,5,19,240,8
Sergeli district,182500,182500.0,23438.602494,12.84307,76482.437131,41.908185,82578.960375,45.248745,99921.039625,54.751255,51.487748,3544.532596,4,5,126,5
Shaykhantakhur district,375000,375000.0,75907.939874,20.242117,282904.777383,75.441274,16187.282743,4.316609,358812.717257,95.683391,26.949747,13914.787352,7,20,206,5
Uchtepa district,308100,308100.0,0.0,0.0,288084.385976,93.503533,20015.614024,6.496467,288084.385976,93.503533,28.200479,10925.346403,0,0,182,13
Yakkasaray district,147000,147000.0,10904.58613,7.418086,130172.054817,88.552418,5923.359053,4.029496,141076.640947,95.970504,14.102216,10423.893913,1,3,96,2
Yangikhayot district,205200,205200.0,21370.474798,10.414461,104804.984734,51.074554,79024.540468,38.510985,126175.459532,61.489015,42.204777,4862.008907,7,7,105,2
Yashnabad district,322300,322300.0,30158.02039,9.357127,208186.69935,64.594074,83955.280259,26.048799,238344.719741,73.951201,78.212888,4120.804242,8,10,250,9
Yunusabad district,396800,396800.0,88014.530952,22.181081,234881.518223,59.193931,73903.950825,18.624988,322896.049175,81.375012,41.354309,9595.130673,7,29,249,7
