osm_id,osm_name,osm_name_en,siat_code,siat_name_en,district_name,in_siat
2441651,Olmazor Tumani,Almazar District,1726280,Almazar district,Almazar district,True
2447560,Bektemir Tumani,Bektemir district,1726264,Bektemir district,Bektemir district,True
2441810,Chilonzor Tumani,Chilanzar district,1726294,Chilanzar district,Chilanzar district,True
2447634,Mirobod Tumani,Mirabad District,1726273,Mirabad district,Mirabad district,True
5620904,Mirzo Ulug‘bek Tumani,Mirzo Ulugbek district,1726269,Mirzo Ulugbek district,Mirzo Ulugbek district,True
2447546,Sergeli tumani,Sergeli District,1726283,Sergeli district,Sergeli district,True
2439529,Shayhontohur Tumani,Shaykhantahur District,1726277,Shaykhantakhur district,Shaykhantakhur district,True
2434059,Uchtepa Tumani,,1726262,Uchtepa district,Uchtepa district,True
2443769,Yakkasaroy Tumani,Yakkasaray District,1726287,Yakkasaray district,Yakkasaray district,True
12030887,Yangi hayot Tumani,Yangi hayot District,1726292,Yangikhayot district,Yangikhayot district,True
1751444,Yashnobod Tumani,Yashnabad District,1726290,Yashnabad district,Yashnabad district,True
2448072,Yunusobod Tumani,Yunusabad district,1726266,Yunusabad district,Yunusabad district,True
17389398,Yangi Toshkent Tumani,Yangi Tashkent District,,,Yangi Toshkent Tumani,False
