access_id,access_type,source_osm_id,source_osm_element,name,district_name,nearest_entrance_distance_m,fallback_reason,x_m,y_m,snap_edge_index,snap_edge_fraction,off_network_connector_m,snap_cost_to_edge_u_m,snap_cost_to_edge_v_m,snapped_x_m,snapped_y_m,snapped_into_edge_interior
entrance:1142950027,entrance,1142950027,node,Xalqlar Do'stligi,Shaykhantakhur district,0.0,,520396.25540094415,4573475.149052865,35238,0.35468884,0.0,38.2636,69.6157,520396.255,4573475.149,True
entrance:1142950516,entrance,1142950516,node,Xalqlar Do'stligi,Chilanzar district,0.0,,520366.94305724866,4573361.430301436,57618,0.827834459,0.0,12.7225,2.6459,520366.943,4573361.43,True
entrance:1226725679,entrance,1226725679,node,Шахристан,Yunusabad district,0.0,,524091.39183199056,4578098.001444164,36862,0.89157084,0.0,38.27,4.6542,524091.392,4578098.001,True
entrance:13322774128,entrance,13322774128,node,Qiyot,Sergeli district,0.0,,525212.0458296788,4565942.216416982,116619,0.696553881,0.0,97.6498,42.5401,525212.046,4565942.216,True
entrance:13324929877,entrance,13324929877,node,,Sergeli district,0.0,,523959.5752923218,4565948.40098388,11651,0.452748961,5.6894,60.2498,72.8257,523959.607,4565954.09,True
entrance:13324929878,entrance,13324929878,node,,Sergeli district,0.0,,523960.01863672724,4565933.348727357,11653,0.229126411,12.8047,67.4386,226.8906,523959.946,4565920.544,True
entrance:13326560028,entrance,13326560028,node,Quruvchilar,Sergeli district,0.0,,521769.59218341793,4563357.813903668,116562,0.213368509,15.9498,73.9259,272.5447,521761.964,4563371.821,True
entrance:13326560037,entrance,13326560037,node,,Sergeli district,0.0,,522685.65574973647,4564400.430757971,4523,0.751528602,10.7622,524.6489,173.4601,522675.705,4564404.531,True
entrance:13352013991,entrance,13352013991,node,,Yangikhayot district,0.0,,517458.8102612116,4563354.2939430745,104663,0.824348012,0.0,37.702,8.0335,517458.81,4563354.294,True
entrance:13418520188,entrance,13418520188,node,,Yashnabad district,0.0,,529210.0285268687,4571912.363322631,92901,0.984338233,14.7231,94.1237,1.4976,529200.899,4571900.813,True
entrance:13538956795,entrance,13538956795,node,,Yashnabad district,0.0,,526944.8923837636,4571473.82185858,151888,1.0,0.0,2.4098,0.0,526944.892,4571473.822,False
entrance:1390572520,entrance,1390572520,node,Chorsu,Shaykhantakhur district,0.0,,519720.1179072931,4574900.47819342,32740,0.0,0.0,0.0,26.9911,519720.118,4574900.478,False
