year,metro_state_id,open_station_count,population_modelled_available,metro_access_population_standardized,metro_access_pct_standardized,metro_access_pct_change_from_2015_pp,population_model_status,population_projection_flag,worldpop_release,temporal_reference,geography_version
2015,metro_state_29,29,1941638.010242,133335.788253,6.867180574,0.0,modelled_estimate,False,R2025A,January 1,current_12_district_analysis_geometry
2016,metro_state_29,29,1975806.124394,135584.624983,6.862243381,-0.004937193,modelled_estimate,False,R2025A,January 1,current_12_district_analysis_geometry
2017,metro_state_29,29,2009842.499627,137845.776433,6.858536251,-0.008644322,modelled_estimate,False,R2025A,January 1,current_12_district_analysis_geometry
2018,metro_state_29,29,2043928.714042,140124.845803,6.855662081,-0.011518493,modelled_estimate,False,R2025A,January 1,current_12_district_analysis_geometry
2019,metro_state_29,29,2080472.873553,142525.919218,6.850650207,-0.016530367,modelled_estimate,False,R2025A,January 1,current_12_district_analysis_geometry
2020,metro_state_43,43,2119256.572044,194965.822057,9.199727142,2.332546568,modelled_estimate,False,R2025A,January 1,current_12_district_analysis_geometry
2021,metro_state_43,43,2159678.049211,198623.52164,9.19690422,2.329723646,modelled_estimate,False,R2025A,January 1,current_12_district_analysis_geometry
2022,metro_state_43,43,2203003.094497,202526.035089,9.193179782,2.325999209,modelled_estimate,False,R2025A,January 1,current_12_district_analysis_geometry
2023,metro_state_48,48,2248257.135791,218765.364115,9.730442334,2.86326176,modelled_estimate,False,R2025A,January 1,current_12_district_analysis_geometry
2024,metro_state_50,50,2293884.410142,230217.254474,10.03613144,3.168950866,modelled_estimate,False,R2025A,January 1,current_12_district_analysis_geometry
2025,metro_state_50,50,2338652.827071,234601.633292,10.031486101,3.164305527,modelled_estimate,False,R2025A,January 1,current_12_district_analysis_geometry
2026,metro_state_50,50,2381987.316344,238867.712933,10.028085007,3.160904433,modelled_estimate,True,R2025A,January 1,current_12_district_analysis_geometry
