year,metro_state_id,actual_standardized_pct,network_change_on_2015_population_pct,population_change_under_2015_network_pct
2015,metro_state_29,6.867180574,6.867180574,6.867180574
2016,metro_state_29,6.862243381,6.867180574,6.862243381
2017,metro_state_29,6.858536251,6.867180574,6.858536251
2018,metro_state_29,6.855662081,6.867180574,6.855662081
2019,metro_state_29,6.850650207,6.867180574,6.850650207
2020,metro_state_43,9.199727142,9.221309947,6.845382089
2021,metro_state_43,9.19690422,9.221309947,6.842194415
2022,metro_state_43,9.193179782,9.221309947,6.838477416
2023,metro_state_48,9.730442334,9.758831248,6.835791031
2024,metro_state_50,10.03613144,10.071902189,6.833013349
2025,metro_state_50,10.031486101,10.071902189,6.829427906
2026,metro_state_50,10.028085007,10.071902189,6.826760801
