year,stations_opened,cumulative_station_count,station_names_opened
1977,9,9,Amir Temur xiyoboni | Chilonzor | Milliy bogʻ | Mirzo Ulugʻbek | Mustaqillik maydoni | Novza | Olmazor | Paxtakor | Xalqlar doʻstligi
1980,3,12,Buyuk Ipak Yoʻli | Hamid Olimjon | Pushkin
1984,5,17,Alisher Navoiy | Kosmonavtlar | Oybek | Oʻzbekiston | Toshkent
1987,2,19,Do'stlik | Mashinasozlar
1989,2,21,Chorsu | G'afur G'ulom
1991,2,23,Beruniy | Tinchlik
2001,6,29,Abdulla Qodiriy | Bodomzor | Mingoʻrik | Minor | Shahriston | Yunus Rajabiy
2020,14,43,Chinor | Choshtepa | Olmos | O‘zgarish | Qo‘yliq | Rohat | Sergeli | Texnopark | Turkiston | Tuzel | Yangihayot | Yangiobod | Yashnobod | Yunusobod
2023,5,48,Matonat | Qiyot | Quruvchilar | Tolarik | Xonobod
2024,2,50,Qipchok | Turon
