station_id,station_name_current,station_name_historical,line,opening_date,opening_year,date_precision,opening_batch_id,source_url,source_provider,source_quality,notes,current_osm_id,district_name,longitude,latitude
tm_chilonzor_01,Olmazor,Sobir Rahimov,Chilonzor line,1977-11-06,1977,day,chilonzor_1977_11_06,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the nine-station first-stage opening.,1777845992,Chilanzar district,69.19610450,41.25667240
tm_chilonzor_02,Chilonzor,,Chilonzor line,1977-11-06,1977,day,chilonzor_1977_11_06,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the nine-station first-stage opening.,854338154,Chilanzar district,69.20497350,41.27435900
tm_chilonzor_03,Mirzo Ulugʻbek,,Chilonzor line,1977-11-06,1977,day,chilonzor_1977_11_06,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the nine-station first-stage opening.,852873027,Chilanzar district,69.21258340,41.28203420
tm_chilonzor_04,Novza,Hamza,Chilonzor line,1977-11-06,1977,day,chilonzor_1977_11_06,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the nine-station first-stage opening.,563751850,Chilanzar district,69.22361650,41.29187220
tm_chilonzor_05,Milliy bogʻ,Yoshlik,Chilonzor line,1977-11-06,1977,day,chilonzor_1977_11_06,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the nine-station first-stage opening.,1252201486,Chilanzar district,69.23566630,41.30339440
tm_chilonzor_06,Xalqlar doʻstligi,,Chilonzor line,1977-11-06,1977,day,chilonzor_1977_11_06,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the nine-station first-stage opening.,568770460,Shaykhantakhur district,69.24309590,41.31189870
tm_chilonzor_07,Paxtakor,,Chilonzor line,1977-11-06,1977,day,chilonzor_1977_11_06,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the nine-station first-stage opening.,1777740154,Shaykhantakhur district,69.25508820,41.31779140
tm_chilonzor_08,Mustaqillik maydoni,,Chilonzor line,1977-11-06,1977,day,chilonzor_1977_11_06,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the nine-station first-stage opening.,1778357473,Yunusabad district,69.27106460,41.31494530
tm_chilonzor_09,Amir Temur xiyoboni,Markaziy xiyobon,Chilonzor line,1977-11-06,1977,day,chilonzor_1977_11_06,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the nine-station first-stage opening.,1777051509,Mirzo Ulugbek district,69.28326910,41.31267380
tm_chilonzor_10,Hamid Olimjon,,Chilonzor line,1980-08-18,1980,day,chilonzor_1980_08_18,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the three-station second-stage opening.,1775848270,Mirzo Ulugbek district,69.29574190,41.31816440
tm_chilonzor_11,Pushkin,,Chilonzor line,1980-08-18,1980,day,chilonzor_1980_08_18,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the three-station second-stage opening.,1777037922,Mirzo Ulugbek district,69.31110200,41.32194810
tm_chilonzor_12,Buyuk Ipak Yoʻli,,Chilonzor line,1980-08-18,1980,day,chilonzor_1980_08_18,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the three-station second-stage opening.,1777037919,Mirzo Ulugbek district,69.32855980,41.32610540
tm_circle_01,Texnopark,Doʻstlik-2,Circle line,2020-08-29,2020,day,circle_2020_08_29,https://www.president.uz/oz/lists/view/3816,President of the Republic of Uzbekistan,primary,Official launch record gives the seven-station Doʻstlik-2–Qoʻyliq stage.,6923918549,Yashnabad district,69.32267890,41.29453270
tm_circle_02,Yashnobod,,Circle line,2020-08-29,2020,day,circle_2020_08_29,https://www.president.uz/oz/lists/view/3816,President of the Republic of Uzbekistan,primary,Official launch record gives the seven-station Doʻstlik-2–Qoʻyliq stage.,6902085593,Yashnabad district,69.34943770,41.29785360
tm_circle_03,Tuzel,,Circle line,2020-08-29,2020,day,circle_2020_08_29,https://www.president.uz/oz/lists/view/3816,President of the Republic of Uzbekistan,primary,Official launch record gives the seven-station Doʻstlik-2–Qoʻyliq stage.,6011988808,Yashnabad district,69.35635230,41.29174560
tm_circle_04,Olmos,,Circle line,2020-08-29,2020,day,circle_2020_08_29,https://www.president.uz/oz/lists/view/3816,President of the Republic of Uzbekistan,primary,Official launch record gives the seven-station Doʻstlik-2–Qoʻyliq stage.,9972711745,Yashnabad district,69.36033380,41.28170500
tm_circle_05,Rohat,,Circle line,2020-08-29,2020,day,circle_2020_08_29,https://www.president.uz/oz/lists/view/3816,President of the Republic of Uzbekistan,primary,Official launch record gives the seven-station Doʻstlik-2–Qoʻyliq stage.,7597627323,Yashnabad district,69.36504520,41.26560830
tm_circle_06,Yangiobod,,Circle line,2020-08-29,2020,day,circle_2020_08_29,https://www.president.uz/oz/lists/view/3816,President of the Republic of Uzbekistan,primary,Official launch record gives the seven-station Doʻstlik-2–Qoʻyliq stage.,7910174392,Yashnabad district,69.35840250,41.25615940
tm_circle_07,Qo‘yliq,,Circle line,2020-08-29,2020,day,circle_2020_08_29,https://www.president.uz/oz/lists/view/3816,President of the Republic of Uzbekistan,primary,Official launch record gives the seven-station Doʻstlik-2–Qoʻyliq stage.,7910174393,Bektemir district,69.32749640,41.23748080
