scope,district_name,metro_access_pct_using_2020_surface,metro_access_pct_using_2026_surface,percentage_point_difference
city,,13.052549,13.045737,-0.006812
district,Almazar district,6.651656,6.672007,0.020351
district,Bektemir district,3.028757,3.014716,-0.014041
district,Chilanzar district,22.518693,22.509288,-0.009405
district,Mirabad district,24.011638,23.924275,-0.087364
district,Mirzo Ulugbek district,11.168453,11.226907,0.058454
district,Sergeli district,12.862805,12.84307,-0.019735
district,Shaykhantakhur district,20.298775,20.242117,-0.056658
district,Uchtepa district,0.0,0.0,0.0
district,Yakkasaray district,7.528155,7.418086,-0.110069
district,Yangikhayot district,10.435808,10.414461,-0.021347
district,Yashnabad district,9.363501,9.357127,-0.006374
district,Yunusabad district,22.145225,22.181081,0.035857
