siat_code,district_name,name_uz,name_ru,name_en_source,osm_relation,population,population_thousands,reference_period,source_dataset
1726262,Uchtepa district,Uchtepa tumani,Учтепинский район,Uchtepa district,2434059,308100,308.1,2026-Q2,3890
1726264,Bektemir district,Bektemir tumani,Бектемирский район,Bektemir district,2447560,73600,73.6,2026-Q2,3890
1726266,Yunusabad district,Yunusobod tumani,Юнусабадский район,Yunusabad district,2448072,396800,396.8,2026-Q2,3890
1726269,Mirzo Ulugbek district,Mirzo Ulug‘bek tumani,Мирзо Улугбекский район,Mirzo Ulugbek district,5620904,345300,345.3,2026-Q2,3890
1726273,Mirabad district,Mirobod tumani,Мирабадский район,Mirabad district,2447634,157500,157.5,2026-Q2,3890
1726277,Shaykhantakhur district,Shayxontoxur tumani,Шайхантахурский район,Shaykhantakhur district,2439529,375000,375.0,2026-Q2,3890
1726280,Almazar district,Olmazor tumani,Алмазарский район,Almazar district,2441651,421300,421.3,2026-Q2,3890
1726283,Sergeli district,Sirg‘ali tumani,Сергелийский район,Sergeli district,2447546,182500,182.5,2026-Q2,3890
1726287,Yakkasaray district,Yakkasaroy tumani,Яккасарайский район,Yakkasaray district,2443769,147000,147.0,2026-Q2,3890
1726290,Yashnabad district,Yashnobod tumani,Яшнободский район,Yashnabad district,1751444,322300,322.3,2026-Q2,3890
1726292,Yangikhayot district,Yangihayot tumani,Янгихаётский район,Yangikhayot district,12030887,205200,205.2,2026-Q2,3890
1726294,Chilanzar district,Chilonzor tumani,Чиланзарский район,Chilanzar district,2441810,277600,277.6,2026-Q2,3890
