siat_code,district_name,year,population_thousand,population_people,geography_break_flag,geography_note,source_dataset,source_url
1726,Tashkent city,2015,2371.3,2371300,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726,Tashkent city,2016,2393.2,2393200,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726,Tashkent city,2017,2424.1,2424100,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726,Tashkent city,2018,2464.9,2464900,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726,Tashkent city,2019,2509.9,2509900,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726,Tashkent city,2020,2571.7,2571700,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726,Tashkent city,2021,2694.4,2694400,True,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726,Tashkent city,2022,2860.6,2860600,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726,Tashkent city,2023,2956.4,2956400,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726,Tashkent city,2024,3040.8,3040800,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726,Tashkent city,2025,3112.8,3112800,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726,Tashkent city,2026,3178.1,3178100,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2015,252.8,252800,False,,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2016,255.3,255300,False,,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2017,257.8,257800,False,,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2018,262.7,262700,False,,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2019,265.9,265900,False,,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2020,272.6,272600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2021,278.2,278200,False,,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2022,285.9,285900,False,,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2023,293.5,293500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2024,299.4,299400,False,,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2025,301.7,301700,False,,246,https://siat.stat.uz/data/246/?lang=en
1726262,Uchtepa district,2026,304.4,304400,False,,246,https://siat.stat.uz/data/246/?lang=en
1726264,Bektemir district,2015,31.0,31000,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726264,Bektemir district,2016,31.4,31400,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726264,Bektemir district,2017,32.4,32400,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726264,Bektemir district,2018,33.0,33000,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726264,Bektemir district,2019,34.0,34000,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726264,Bektemir district,2020,34.8,34800,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726264,Bektemir district,2021,31.4,31400,True,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
