year,worldpop_current_footprint_population,siat_official_city_population,difference_people,difference_pct,geography_comparability,projection_flag,worldpop_source_label,siat_source_label,notes
2015,1941638.010242,2371300,-429661.989758,-18.119259,limited_changing_historical_footprint,False,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Limited comparability: current fixed footprint is compared with the historical official city footprint before the 2021 reorganization.
2016,1975806.124394,2393200,-417393.875606,-17.440827,limited_changing_historical_footprint,False,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Limited comparability: current fixed footprint is compared with the historical official city footprint before the 2021 reorganization.
2017,2009842.499627,2424100,-414257.500373,-17.089126,limited_changing_historical_footprint,False,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Limited comparability: current fixed footprint is compared with the historical official city footprint before the 2021 reorganization.
2018,2043928.714042,2464900,-420971.285958,-17.078635,limited_changing_historical_footprint,False,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Limited comparability: current fixed footprint is compared with the historical official city footprint before the 2021 reorganization.
2019,2080472.873553,2509900,-429427.126447,-17.109332,limited_changing_historical_footprint,False,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Limited comparability: current fixed footprint is compared with the historical official city footprint before the 2021 reorganization.
2020,2119256.572044,2571700,-452443.427956,-17.593165,limited_changing_historical_footprint,False,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Limited comparability: current fixed footprint is compared with the historical official city footprint before the 2021 reorganization.
2021,2159678.049211,2694400,-534721.950789,-19.845678,improved_fixed_current_vs_official_administrative,False,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Improved but not identical geography: fixed current analysis footprint is compared with the official administrative city series.
2022,2203003.094497,2860600,-657596.905503,-22.988076,improved_fixed_current_vs_official_administrative,False,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Improved but not identical geography: fixed current analysis footprint is compared with the official administrative city series.
2023,2248257.135791,2956400,-708142.864209,-23.952877,improved_fixed_current_vs_official_administrative,False,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Improved but not identical geography: fixed current analysis footprint is compared with the official administrative city series.
2024,2293884.410142,3040800,-746915.589858,-24.563128,improved_fixed_current_vs_official_administrative,False,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Improved but not identical geography: fixed current analysis footprint is compared with the official administrative city series.
2025,2338652.827071,3112800,-774147.172929,-24.869801,improved_fixed_current_vs_official_administrative,False,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Improved but not identical geography: fixed current analysis footprint is compared with the official administrative city series.
2026,2381987.316344,3178100,-796112.683656,-25.049957,improved_fixed_current_vs_official_administrative,True,WorldPop Global 2 R2025A v1 fixed current analysis footprint,SIAT dataset 246 official city population,Improved but not identical geography: fixed current analysis footprint is compared with the official administrative city series.
