district_name,official_population,area_km2,population_density_per_km2,metro_access_pct,bus_only_pct,underserved_pct,metro_stations,metro_access_points,bus_stops,bus_stops_per_10k,hospitals,clinics,healthcare_total,healthcare_facilities_per_10k,healthcare_10min_population,healthcare_10min_pct,schools,colleges,universities,kindergartens,education_total,education_facilities_per_10k,education_10min_population,education_10min_pct,bazaars,bazaars_per_10k,bazaar_10min_population,bazaar_10min_pct,healthcare_and_education_10min_population,healthcare_and_education_10min_pct,population,walk_network_km,walk_network_density_km_per_km2
Almazar district,421300,33.709502,12497.959895,6.894042,84.529239,8.576718,1,4,213,5.055779729,46,35,81,1.92262046,250706.363954,59.507800606,54,9,14,51,128,3.038215049,340709.058984,80.870889861,9,0.213624496,93546.844122,22.204330435,234769.767392,55.72508127,421300.0,870.242201,25.815931692
Bektemir district,73600,35.69755,2061.766119,2.459381,46.838263,50.702355,1,1,56,7.608695652,1,0,1,0.135869565,1358.979436,1.846439451,8,1,0,11,20,2.717391304,24782.228809,33.671506533,8,1.086956522,7862.177212,10.682305995,372.264311,0.5057939,73600.0,424.400788,11.888793152
Chilanzar district,277600,30.344123,9148.394138,23.07235,68.075213,8.852437,5,39,203,7.312680115,26,24,50,1.801152738,165938.778219,59.776216938,57,19,8,63,147,5.295389049,214023.98153,77.097976055,12,0.432276657,77749.134993,28.00761347,160721.073841,57.896640432,277600.0,894.705119,29.485285141
Mirabad district,157500,16.745122,9405.72408,24.888077,72.282941,2.828982,4,17,155,9.841269841,14,14,28,1.777777778,91266.89259,57.94723339,29,8,12,31,80,5.079365079,139418.93233,88.519957035,3,0.19047619,19593.191546,12.440121617,86446.868936,54.886900912,157500.0,477.001896,28.486020944
Mirzo Ulugbek district,345300,38.71345,8919.380708,11.343318,79.883791,8.77289,5,19,240,6.950477845,27,27,54,1.563857515,198796.949414,57.572241359,64,7,17,62,150,4.344048653,281501.352432,81.52370473,8,0.231682595,59627.814858,17.268408589,183801.780563,53.229591823,345300.0,801.009489,20.690728649
Sergeli district,182500,51.487748,3544.532596,13.947408,43.443594,42.608998,4,5,126,6.904109589,2,4,6,0.328767123,15615.697542,8.556546598,24,5,1,22,52,2.849315068,58309.34873,31.950328071,5,0.273972603,10946.850172,5.998274067,12204.261289,6.68726646,182500.0,805.095461,15.636641575
Shaykhantakhur district,375000,26.949747,13914.787352,20.453444,76.026698,3.519859,7,20,206,5.493333333,18,30,48,1.28,225661.797217,60.176479258,55,11,9,40,115,3.066666667,319989.526205,85.330540321,5,0.133333333,29904.552081,7.974547222,202708.603797,54.055627679,375000.0,769.369282,28.548293311
Uchtepa district,308100,28.200479,10925.346403,0.0,95.165531,4.834469,0,0,182,5.907172996,13,13,26,0.843881857,140136.653391,45.484145859,45,6,5,44,100,3.245699448,237918.760053,77.221278823,13,0.421940928,50180.223787,16.286992466,130236.980106,42.271009447,308100.0,639.902709,22.691199997
Yakkasaray district,147000,14.102216,10423.893913,7.55369,88.849021,3.597289,1,3,96,6.530612245,5,15,20,1.360544218,102975.943852,70.051662484,31,10,6,29,76,5.170068027,137587.568973,93.596985696,2,0.136054422,20465.367705,13.922018847,100514.56331,68.377253952,147000.0,406.164413,28.80146021
Yangikhayot district,205200,42.204777,4862.008907,12.352197,52.510302,35.137501,7,7,105,5.116959064,4,1,5,0.243664717,21271.668162,10.36631002,18,2,1,16,37,1.803118908,89559.602358,43.645030389,2,0.097465887,14249.976199,6.944432846,21086.478254,10.276061527,205200.0,603.764085,14.305586427
Yashnabad district,322300,78.212888,4120.804242,10.082836,65.392065,24.5251,8,10,250,7.756748371,26,23,49,1.520322681,79638.458248,24.709419252,53,13,10,43,119,3.692212225,170975.948631,53.048696441,9,0.279242941,36506.361205,11.326826313,68381.063463,21.216588105,322300.0,1235.91399,15.80192244
Yunusabad district,396800,41.354309,9595.130673,23.013364,60.017521,16.969115,7,29,249,6.275201613,19,36,55,1.38608871,205459.272151,51.779050441,56,8,13,53,130,3.276209677,290319.611547,73.165224684,7,0.17641129,43049.386048,10.849139629,189684.136982,47.803461941,396800.0,1019.274951,24.647369903
