scope,district_name,speed_kmh,budget_m,metro_access_population,metro_access_pct,bus_only_population,bus_only_pct,underserved_population,underserved_pct,combined_pct
city,,4.0,666.666667,319882.56673,9.958364,2237094.258738,69.643679,655223.174532,20.397957,79.602043
city,,4.8,800.0,435689.821855,13.563596,2314112.826496,72.041368,462397.35165,14.395036,85.604964
city,,5.6,933.333333,555661.326891,17.298466,2311990.395848,71.975294,344548.277261,10.72624,89.27376
district,Almazar district,4.0,666.666667,19570.90852,4.645362,341644.825532,81.093004,60084.265948,14.261634,85.738366
district,Almazar district,4.8,800.0,29044.600632,6.894042,356121.685447,84.529239,36133.713922,8.576718,91.423282
district,Almazar district,5.6,933.333333,37948.933371,9.00758,359617.699902,85.359055,23733.366727,5.633365,94.366635
district,Bektemir district,4.0,666.666667,1199.960139,1.630381,29803.010576,40.493221,42597.029284,57.876398,42.123602
district,Bektemir district,4.8,800.0,1810.10449,2.459381,34472.961892,46.838263,37316.933618,50.702355,49.297645
district,Bektemir district,5.6,933.333333,2726.584494,3.704598,37898.918321,51.493096,32974.497185,44.802306,55.197694
district,Chilanzar district,4.0,666.666667,48236.662335,17.376319,195098.508917,70.280443,34264.828748,12.343238,87.656762
district,Chilanzar district,4.8,800.0,64048.843302,23.07235,188976.791662,68.075213,24574.365036,8.852437,91.147563
district,Chilanzar district,5.6,933.333333,83083.41874,29.929185,177098.867532,63.796422,17417.713728,6.274393,93.725607
district,Mirabad district,4.0,666.666667,30219.80845,19.18718,116318.111024,73.852769,10962.080526,6.960051,93.039949
district,Mirabad district,4.8,800.0,39198.72126,24.888077,113845.631339,72.282941,4455.647402,2.828982,97.171018
district,Mirabad district,5.6,933.333333,46823.488395,29.729199,108255.234684,68.733482,2421.276921,1.537319,98.462681
district,Mirzo Ulugbek district,4.0,666.666667,28665.582504,8.301646,264355.603684,76.55824,52278.813812,15.140114,84.859886
district,Mirzo Ulugbek district,4.8,800.0,39168.47776,11.343318,275838.731998,79.883791,30292.790242,8.77289,91.22711
district,Mirzo Ulugbek district,5.6,933.333333,50176.574005,14.531299,273636.241755,79.245943,21487.18424,6.222758,93.777242
district,Sergeli district,4.0,666.666667,17501.763341,9.590007,71614.957891,39.241073,93383.278768,51.16892,48.83108
district,Sergeli district,4.8,800.0,25454.019267,13.947408,79284.559667,43.443594,77761.421066,42.608998,57.391002
district,Sergeli district,5.6,933.333333,34555.907927,18.934744,84268.897767,46.174739,63675.194306,34.890517,65.109483
district,Shaykhantakhur district,4.0,666.666667,57136.168389,15.236312,283481.560223,75.595083,34382.271389,9.168606,90.831394
district,Shaykhantakhur district,4.8,800.0,76700.413952,20.453444,285100.116455,76.026698,13199.469593,3.519859,96.480141
district,Shaykhantakhur district,5.6,933.333333,97163.190745,25.910184,272660.602889,72.709494,5176.206365,1.380322,98.619678
district,Uchtepa district,4.0,666.666667,0.0,0.0,278654.108478,90.442749,29445.891522,9.557251,90.442749
district,Uchtepa district,4.8,800.0,0.0,0.0,293205.000322,95.165531,14894.999678,4.834469,95.165531
district,Uchtepa district,5.6,933.333333,280.109263,0.090915,300976.086289,97.687792,6843.804448,2.221293,97.778707
district,Yakkasaray district,4.0,666.666667,7713.55686,5.247318,126366.522173,85.963621,12919.920968,8.789062,91.210938
district,Yakkasaray district,4.8,800.0,11103.924173,7.55369,130608.061527,88.849021,5288.0143,3.597289,96.402711
district,Yakkasaray district,5.6,933.333333,14071.025686,9.572126,130663.196887,88.886528,2265.777427,1.541345,98.458655
district,Yangikhayot district,4.0,666.666667,18784.785036,9.154379,96355.523805,46.956883,90059.691158,43.888738,56.111262
district,Yangikhayot district,4.8,800.0,25346.708266,12.352197,107751.139194,52.510302,72102.15254,35.137501,64.862499
district,Yangikhayot district,5.6,933.333333,33425.759215,16.289356,115072.051621,56.077998,56702.189164,27.632646,72.367354
district,Yashnabad district,4.0,666.666667,22294.02041,6.917164,194615.396552,60.383306,105390.583038,32.699529,67.300471
district,Yashnabad district,4.8,800.0,32496.97917,10.082836,210758.62507,65.392065,79044.39576,24.5251,75.4749
district,Yashnabad district,5.6,933.333333,44020.980632,13.658387,216889.52265,67.294298,61389.496718,19.047315,80.952685
district,Yunusabad district,4.0,666.666667,68559.350746,17.278062,238786.129883,60.177956,89454.519372,22.543982,77.456018
district,Yunusabad district,4.8,800.0,91317.029585,23.013364,238149.521922,60.017521,67333.448492,16.969115,83.030885
district,Yunusabad district,5.6,933.333333,111385.354418,28.070906,234953.075551,59.211965,50461.570031,12.71713,87.28287
