district_name,area_km2,worldpop_2020,worldpop_2026,siat_code,siat_population,ratio_2020_to_siat,ratio_2026_to_siat,scaling_2020_to_2026
Chilanzar district,30.344,75841.3906,85242.9062,1726294,277600,0.2732,0.3071,1.124
Sergeli district,51.488,51542.6211,57933.1094,1726283,182500,0.2824,0.3174,1.124
Mirzo Ulugbek district,38.713,124260.1172,139664.6875,1726269,345300,0.3599,0.4045,1.124
Almazar district,33.71,198081.2188,222639.4219,1726280,421300,0.4702,0.5285,1.124
Yashnabad district,78.213,160301.5312,180163.6875,1726290,322300,0.4974,0.559,1.1239
Yunusabad district,41.354,210614.1719,236725.2031,1726266,396800,0.5308,0.5966,1.124
Shaykhantakhur district,26.95,212914.9219,239309.4062,1726277,375000,0.5678,0.6382,1.124
Uchtepa district,28.2,200563.5156,225428.0312,1726262,308100,0.651,0.7317,1.124
Yangikhayot district,42.205,194138.8125,218192.3125,1726292,205200,0.9461,1.0633,1.1239
Mirabad district,16.745,222914.9062,250550.6562,1726273,157500,1.4153,1.5908,1.124
Yakkasaray district,14.102,250045.25,281045.4375,1726287,147000,1.701,1.9119,1.124
Bektemir district,35.698,218038.1094,245092.4844,1726264,73600,2.9625,3.3301,1.1241
